Removed Pin From Net: NetName=24V Pin=U2-1
Removed Pin From Net: NetName=VCC Pin=U2-3
Change Component Comment : Designator=R1 Old Comment=0805S8J0103T5E New Comment=0805S8F2211T5E/0805S8J0222T5E
Change Component Comment : Designator=R2 Old Comment=0805S8J0103T5E New Comment=0805S8F2211T5E/0805S8J0222T5E
Change Component Comment : Designator=BZ1 Old Comment=EPT-14A4009P050D New Comment=EPT-14A4009P050D / YX-WY1470A
Change Component Comment : Designator=VAR1 Old Comment=ERZ-V05D560 New Comment=TVR07470KSY
Change Component Comment : Designator=D4 Old Comment=SMAJ36CA/TR7 New Comment=SMAJ36CA/TR7 / SMAJ36CA-UMW
Change Component Comment : Designator=D1 Old Comment=US1D_R1_00001 New Comment=US1D_R1_00001 / US1D-SMA-MDD
Change Component Comment : Designator=D2 Old Comment=US1D_R1_00001 New Comment=US1D_R1_00001 / US1D-SMA-MDD
Change Component Comment : Designator=D3 Old Comment=US1D_R1_00001 New Comment=US1D_R1_00001 / US1D-SMA-MDD
Change component parameters: Designator = "BZ1" ("BZ1"); Footprint = "piezo buzzer"; UniqueID = "\PLYLBEVO" ("\PLYLBEVO")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "SANCO / YXDZ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "EPT-14A4009P050D / YX-WY1470A"; VariantName = "[No Variations]"
Change component parameters: Designator = "D1" ("D1"); Footprint = "SMA"; UniqueID = "\VHJWLXRJ" ("\VHJWLXRJ")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.onsemi.com/pub_link/Collateral/MURA160T3-D.PDF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "ON Semiconductor /  MDD(Microdiode Semiconductor)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "US1D_R1_00001 / US1D-SMA-MDD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "200V 1A"; VariantName = "[No Variations]"
Change component parameters: Designator = "D2" ("D2"); Footprint = "SMA"; UniqueID = "\UGBBRZVS" ("\UGBBRZVS")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet link"; VariantName = "[No Variations]"
